property_type,society,sector,price_in_crores,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Built Up area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
flat,maa bhagwati residency,sector 7,0.45,5000.0,2.0,2.0,1,4.0,Relatively New,1000.0,0,0,0,0,0,1,28
flat,apna enclave,sector 3,0.5,7692.307692307692,2.0,2.0,1,1.0,Old Property,722.0,0,0,0,0,0,0,37
flat,tulsiani easy in homes,sohna road,0.4,6722.689075630252,2.0,2.0,3,12.0,New Property,661.0,0,0,0,0,0,1,36
flat,smart world orchard,sector 61,1.47,12250.0,2.0,2.0,2,2.0,New Property,1333.0,0,0,0,0,0,1,76
flat,parkwood westend,sector 92,0.7,5204.460966542751,2.0,2.0,3,5.0,Under Construction,1217.0,0,0,0,0,0,1,0
flat,signature global infinity mall,sector 36,0.41,6269.113149847095,2.0,2.0,3,3.0,New Property,654.0,0,0,0,0,0,1,0
flat,the cocoon,dwarka expressway,2.0,13333.333333333334,3.0,3.0,3,5.0,New Property,1357.0,0,0,0,0,0,1,0
flat,ats triumph,sector 104,1.8,7860.262008733624,3.0,4.0,3,14.0,New Property,2544.0,0,0,0,0,0,1,60
flat,vatika xpressions,sector 88,1.1,8148.148148148148,2.0,4.0,3+,2.0,Under Construction,1350.0,0,0,0,0,0,1,58
flat,raheja revanta,sector 78,4.75,16885.8869534305,3.0,3.0,2,31.0,Moderately Old,2813.0,0,0,0,0,0,1,100
flat,signature global city 81,sector 81,0.96,9766.022380467955,2.0,2.0,2,1.0,Relatively New,1194.0,0,0,0,0,0,1,49
flat,hcbs sports ville,sohna road,0.29,5587.668593448941,2.0,2.0,1,4.0,Relatively New,577.0,0,0,0,0,0,1,44
flat,supertech araville,sector 79,1.35,6940.874035989717,3.0,3.0,3,4.0,Relatively New,2161.0,0,0,0,0,0,1,0
flat,godrej,sector 33,0.95,6859.205776173285,2.0,2.0,3+,3.0,Under Construction,1253.0,0,0,0,0,0,1,0
flat,shree vardhman flora,sector 90,0.7,5384.615384615385,2.0,2.0,3,13.0,New Property,1176.0,0,0,0,0,0,1,15
flat,sobha city,sector 108,3.95,16858.72812633376,4.0,5.0,3,25.0,Relatively New,2343.0,0,0,0,0,0,1,59
flat,senate court,sector 62,0.9,14084.50704225352,1.0,1.0,0,0.0,Relatively New,639.0,0,0,0,0,0,1,0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.409836065572,2.0,2.0,2,0.0,Relatively New,1017.0,0,0,0,0,0,1,49
flat,central park flower valley,sector 33,2.2,10476.190476190475,3.0,3.0,3,12.0,New Property,1900.0,0,0,0,0,0,0,49
flat,smart world gems,sector 89,1.01,9156.84496826836,2.0,2.0,2,4.0,New Property,1226.0,0,0,0,0,0,1,38
flat,bestech altura,sector 79,1.85,8604.651162790698,3.0,4.0,3+,11.0,New Property,1946.0,0,0,0,0,0,1,49
flat,smart world gems,sector 89,0.86,7796.917497733454,2.0,3.0,3,4.0,Under Construction,998.0,0,0,0,0,0,1,45
flat,emaar imperial gardens,sector 102,1.85,9135.802469135802,3.0,3.0,3+,0.0,Relatively New,2250.0,0,0,0,0,0,0,95
flat,la vida by tata housing,sector 113,2.85,12855.209742895806,3.0,3.0,3+,10.0,New Property,2006.0,0,0,0,0,0,1,72
flat,the serenas,sector 36,0.42,7909.604519774011,2.0,2.0,1,3.0,New Property,590.0,0,0,0,0,0,1,0
flat,m3m golfestate,sector 65,6.15,18330.84947839046,3.0,4.0,2,20.0,Relatively New,3355.0,0,0,0,0,0,1,34
flat,central park resort belgravia residences,sector 48,6.25,24300.155520995333,3.0,5.0,3+,5.0,Moderately Old,3200.0,0,0,0,0,0,0,49
flat,apex builders,sector 37,0.42,5600.0,2.0,2.0,2,4.0,Relatively New,833.0,0,0,0,0,0,1,42
flat,godrej habitat,sector 3,1.35,12784.09090909091,2.0,2.0,0,4.0,Relatively New,1056.0,0,0,0,0,0,1,60
flat,ompee k s residency,sector 2,1.6,2992.8918817807707,2.0,2.0,2,1.0,Relatively New,73.0,0,0,0,0,0,1,0
flat,bhawna cghs,sector 43,3.25,10156.25,4.0,4.0,3+,12.0,Moderately Old,4562.0,0,0,1,0,0,0,119
flat,adani aangan arcade,sector 88,0.45,7188.498402555911,2.0,2.0,1,8.0,New Property,695.0,0,0,0,0,0,1,14
flat,sare green parc,sector 92,0.85,6538.461538461538,3.0,2.0,2,20.0,Relatively New,1300.0,0,0,0,0,0,1,0
flat,shree vardhman flora,sector 90,0.75,5769.2307692307695,2.0,2.0,3,8.0,Relatively New,1444.0,0,0,0,0,0,1,60
flat,supertech hues,sector 68,0.82,6949.152542372882,2.0,2.0,3+,21.0,Under Construction,1068.0,0,0,0,0,1,1,72
flat,chintels paradiso,sector 109,1.8,8866.995073891625,3.0,3.0,2,0.0,Moderately Old,2829.0,0,0,0,0,0,1,83
flat,breez global hill view,sohna road,0.3,5405.405405405405,2.0,2.0,2,6.0,New Property,901.0,0,0,0,0,0,1,109
flat,ild greens,sector 37,0.78,5714.285714285715,2.0,2.0,3,1.0,Moderately Old,1068.1,0,0,0,0,0,0,103
flat,ansal sushant lok ci,sector 43,2.0,15151.515151515152,3.0,3.0,2,1.0,Old Property,1467.0,0,0,0,0,0,2,15
flat,ashiana mulberry,sohna road,0.74,6197.654941373535,2.0,2.0,3+,12.0,New Property,1344.0,0,0,0,0,0,1,67
flat,godrej meridien,sector 106,3.2,16000.0,3.0,3.0,3+,6.0,Relatively New,2224.0,0,0,0,0,0,1,49
flat,mapsko casa bella,sector 82,1.3,6378.802747791953,4.0,4.0,3+,1.0,Relatively New,1774.0,0,0,0,0,0,1,130
flat,pooja apartment,sector 3,0.25,3571.428571428572,2.0,2.0,2,2.0,Relatively New,778.0,0,0,0,0,0,1,0
flat,signature global park,sohna road,0.95,7844.7563996696945,3.0,2.0,3+,1.0,Relatively New,1210.73,0,0,0,0,0,1,46
flat,dlf new town heights,sector 90,1.99,7297.396406307297,4.0,4.0,3+,9.0,Relatively New,3030.0,0,0,1,0,0,0,102
flat,paras dews,sector 106,1.05,7581.227436823105,2.0,2.0,2,5.0,New Property,1539.0,0,0,0,0,0,1,97
flat,godrej air,sector 85,1.83,10005.467468562056,3.0,3.0,3+,18.0,Relatively New,2032.0,0,0,0,0,0,1,110
flat,dlf the primus,sector 82,2.25,10714.285714285714,3.0,3.0,3+,29.0,Relatively New,2333.0,0,0,0,0,0,2,72
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.696969696968,3.0,3.0,3+,3.0,Relatively New,1650.0,0,0,0,0,0,0,38
flat,dlf regency park,sector 28,1.6,14545.454545454546,2.0,2.0,2,3.0,Relatively New,1222.0,0,0,0,0,0,1,52
flat,supertech araville,sector 79,0.83,5424.83660130719,2.0,2.0,3,5.0,New Property,1700.0,0,0,0,0,0,2,49
flat,signature global park,sohna road,0.83,7410.714285714285,3.0,2.0,2,1.0,New Property,1244.0,0,0,0,0,0,1,16
flat,maxworth city residences,sector 10,0.8,6400.0,2.0,3.0,2,9.0,New Property,1389.0,0,0,0,0,0,1,46
flat,deepak minda,manesar,1.25,4715.201810637495,4.0,4.0,3+,6.0,Moderately Old,2946.0,0,0,0,0,0,0,44
flat,pivotal devaan,sector 84,0.3,6666.666666666667,1.0,1.0,1,14.0,New Property,500.0,0,0,0,0,0,0,22
flat,unitech the residences,sector 33,1.55,9872.611464968151,3.0,4.0,1,1.0,Relatively New,1421.0,0,0,0,0,0,1,37
flat,chd avenue,sector 71,0.79,6594.32387312187,2.0,2.0,2,8.0,Relatively New,1084.0,0,0,0,0,1,1,0
flat,silverglades the melia,sohna road,1.01,6999.306999306999,2.0,2.0,3,12.0,Relatively New,1840.0,0,0,0,0,0,1,80
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.907221929362,4.0,5.0,3+,4.0,Moderately Old,1717.0,0,0,0,0,0,1,37
flat,umang winter hills,sector 77,0.99,7857.142857142857,2.0,2.0,2,1.0,Relatively New,1696.0,0,0,0,0,0,1,97
flat,ramprastha skyz,sector 37,1.1,6376.811594202899,3.0,3.0,3+,7.0,Relatively New,1561.0,0,0,0,0,0,1,109
