,property_type,sector,price_in_crores,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category
0,flat,sector 7,0.45,2.0,2.0,1,Relatively New,1000.0,0,0,1,Low,Mid floor
1,flat,sector 3,0.5,2.0,2.0,1,Old Property,722.0,0,0,0,Low,Low floor
2,flat,sohna road,0.4,2.0,2.0,3,New Property,661.0,0,0,1,Low,High floor
3,flat,sector 61,1.47,2.0,2.0,2,New Property,1333.0,0,0,1,Medium,Low floor
4,flat,sector 92,0.7,2.0,2.0,3,Under Construction,1217.0,0,0,1,Low,Mid floor
5,flat,sector 36,0.41,2.0,2.0,3,New Property,654.0,0,0,1,Low,Mid floor
6,flat,dwarka expressway,2.0,3.0,3.0,3,New Property,1357.0,0,0,1,Low,Mid floor
7,flat,sector 104,1.8,3.0,4.0,3,New Property,2544.0,0,0,1,Medium,High floor
8,flat,sector 88,1.1,2.0,4.0,3+,Under Construction,1350.0,0,0,1,Medium,Low floor
9,flat,sector 78,4.75,3.0,3.0,2,Moderately Old,2813.0,0,0,1,Medium,High floor
10,flat,sector 81,0.96,2.0,2.0,2,Relatively New,1194.0,0,0,1,Low,Low floor
11,flat,sohna road,0.29,2.0,2.0,1,Relatively New,577.0,0,0,1,Low,Mid floor
12,flat,sector 79,1.35,3.0,3.0,3,Relatively New,2161.0,0,0,1,Low,Mid floor
13,flat,sector 33,0.95,2.0,2.0,3+,Under Construction,1253.0,0,0,1,Low,Mid floor
14,flat,sector 90,0.7,2.0,2.0,3,New Property,1176.0,0,0,1,Low,High floor
15,flat,sector 108,3.95,4.0,5.0,3,Relatively New,2343.0,0,0,1,Medium,High floor
16,flat,sector 62,0.9,1.0,1.0,0,Relatively New,639.0,0,0,1,Low,Low floor
17,flat,sector 102,1.05,2.0,2.0,2,Relatively New,1017.0,0,0,1,Low,Low floor
18,flat,sector 33,2.2,3.0,3.0,3,New Property,1900.0,0,0,0,Low,High floor
19,flat,sector 89,1.01,2.0,2.0,2,New Property,1226.0,0,0,1,Low,Mid floor
20,flat,sector 79,1.85,3.0,4.0,3+,New Property,1946.0,0,0,1,Low,High floor
21,flat,sector 89,0.86,2.0,3.0,3,Under Construction,998.0,0,0,1,Low,Mid floor
22,flat,sector 102,1.85,3.0,3.0,3+,Relatively New,2250.0,0,0,0,Medium,Low floor
23,flat,sector 113,2.85,3.0,3.0,3+,New Property,2006.0,0,0,1,Medium,Mid floor
24,flat,sector 36,0.42,2.0,2.0,1,New Property,590.0,0,0,1,Low,Mid floor
25,flat,sector 65,6.15,3.0,4.0,2,Relatively New,3355.0,0,0,1,Low,High floor
26,flat,sector 48,6.25,3.0,5.0,3+,Moderately Old,3200.0,0,0,0,Low,Mid floor
27,flat,sector 37,0.42,2.0,2.0,2,Relatively New,833.0,0,0,1,Low,Mid floor
28,flat,sector 3,1.35,2.0,2.0,0,Relatively New,1056.0,0,0,1,Medium,Mid floor
29,flat,sector 2,1.6,2.0,2.0,2,Relatively New,73.0,0,0,1,Low,Low floor
30,flat,sector 43,3.25,4.0,4.0,3+,Moderately Old,4562.0,0,0,0,Medium,High floor
31,flat,sector 88,0.45,2.0,2.0,1,New Property,695.0,0,0,1,Low,Mid floor
32,flat,sector 92,0.85,3.0,2.0,2,Relatively New,1300.0,0,0,1,Low,High floor
33,flat,sector 90,0.75,2.0,2.0,3,Relatively New,1444.0,0,0,1,Medium,Mid floor
34,flat,sector 68,0.82,2.0,2.0,3+,Under Construction,1068.0,0,0,1,Medium,High floor
35,flat,sector 109,1.8,3.0,3.0,2,Moderately Old,2829.0,0,0,1,Medium,Low floor
36,flat,sohna road,0.3,2.0,2.0,2,New Property,901.0,0,0,1,Medium,Mid floor
37,flat,sector 37,0.78,2.0,2.0,3,Moderately Old,1068.1,0,0,0,Medium,Low floor
38,flat,sector 43,2.0,3.0,3.0,2,Old Property,1467.0,0,0,2,Low,Low floor
39,flat,sohna road,0.74,2.0,2.0,3+,New Property,1344.0,0,0,1,Medium,High floor
40,flat,sector 106,3.2,3.0,3.0,3+,Relatively New,2224.0,0,0,1,Low,Mid floor
41,flat,sector 82,1.3,4.0,4.0,3+,Relatively New,1774.0,0,0,1,Medium,Low floor
42,flat,sector 3,0.25,2.0,2.0,2,Relatively New,778.0,0,0,1,Low,Low floor
43,flat,sohna road,0.95,3.0,2.0,3+,Relatively New,1210.73,0,0,1,Low,Low floor
44,flat,sector 90,1.99,4.0,4.0,3+,Relatively New,3030.0,0,0,0,Medium,Mid floor
45,flat,sector 106,1.05,2.0,2.0,2,New Property,1539.0,0,0,1,Medium,Mid floor
46,flat,sector 85,1.83,3.0,3.0,3+,Relatively New,2032.0,0,0,1,Medium,High floor
47,flat,sector 82,2.25,3.0,3.0,3+,Relatively New,2333.0,0,0,2,Medium,High floor
48,flat,sector 65,2.8,3.0,3.0,3+,Relatively New,1650.0,0,0,0,Low,Mid floor
49,flat,sector 28,1.6,2.0,2.0,2,Relatively New,1222.0,0,0,1,Medium,Mid floor
50,flat,sector 79,0.83,2.0,2.0,3,New Property,1700.0,0,0,2,Low,Mid floor
51,flat,sohna road,0.83,3.0,2.0,2,New Property,1244.0,0,0,1,Low,Low floor
52,flat,sector 10,0.8,2.0,3.0,2,New Property,1389.0,0,0,1,Low,Mid floor
53,flat,manesar,1.25,4.0,4.0,3+,Moderately Old,2946.0,0,0,0,Low,Mid floor
54,flat,sector 84,0.3,1.0,1.0,1,New Property,500.0,0,0,0,Low,High floor
55,flat,sector 33,1.55,3.0,4.0,1,Relatively New,1421.0,0,0,1,Low,Low floor
56,flat,sector 71,0.79,2.0,2.0,2,Relatively New,1084.0,0,0,1,Low,Mid floor
57,flat,sohna road,1.01,2.0,2.0,3,Relatively New,1840.0,0,0,1,Medium,High floor
58,flat,sector 92,0.95,4.0,5.0,3+,Moderately Old,1717.0,0,0,1,Low,Mid floor
59,flat,sector 77,0.99,2.0,2.0,2,Relatively New,1696.0,0,0,1,Medium,Low floor
60,flat,sector 37,1.1,3.0,3.0,3+,Relatively New,1561.0,0,0,1,Medium,Mid floor
61,flat,sector 67,1.9,4.0,4.0,3,New Property,1991.0,0,0,0,Medium,Mid floor
62,flat,sector 37,1.0,3.0,3.0,3+,Under Construction,1697.0,0,0,1,Medium,Mid floor
63,flat,sector 57,2.5,3.0,3.0,3,Moderately Old,2036.0,0,0,1,Medium,Mid floor
64,flat,sector 3,1.1,2.0,2.0,2,Under Construction,956.0,0,0,1,Medium,High floor
65,flat,sector 95,0.29,2.0,2.0,2,Relatively New,507.0,0,0,1,Medium,High floor
66,flat,sector 95,0.55,2.0,2.0,3,New Property,990.0,0,0,1,Low,High floor
67,flat,sector 92,0.65,3.0,2.0,3,Relatively New,1240.0,0,0,1,Low,Mid floor
68,flat,sohna road,0.5,2.0,2.0,2,New Property,591.0,0,0,1,Low,Mid floor
69,flat,sector 99,0.32,2.0,2.0,1,New Property,837.0,0,0,1,Low,Low floor
70,flat,sector 103,0.93,2.0,3.0,3,Relatively New,1613.0,0,0,0,Medium,Mid floor
71,flat,sector 89,1.2,3.0,3.0,2,New Property,1581.0,0,0,1,Low,Low floor
72,flat,sohna road,0.3,2.0,2.0,2,Relatively New,711.0,0,0,1,Low,Mid floor
73,flat,sohna road,0.56,2.0,2.0,3,New Property,913.0,0,0,1,Medium,Mid floor
74,flat,sector 49,2.7,3.0,4.0,3+,Moderately Old,2159.0,0,0,1,Low,Mid floor
75,flat,sector 90,1.0,3.0,4.0,3,New Property,1765.0,0,0,1,Medium,Mid floor
76,flat,sector 30,1.45,3.0,2.0,2,Old Property,1300.0,0,0,2,Medium,Low floor
77,flat,sector 89,1.25,3.0,3.0,0,New Property,1423.0,0,0,1,Medium,Mid floor
78,flat,sector 66,4.5,5.0,5.0,3+,New Property,3321.0,0,0,1,Medium,High floor
79,flat,sohna road,0.28,2.0,2.0,1,Relatively New,743.0,0,0,1,Low,High floor
80,flat,sector 61,3.87,3.0,4.0,3+,New Property,2730.0,0,0,1,Medium,High floor
81,flat,sector 109,1.38,3.0,3.0,1,Moderately Old,2419.0,0,0,1,Low,Mid floor
82,flat,sector 4,0.43,2.0,2.0,1,Relatively New,722.0,0,0,1,Low,Low floor
83,flat,sector 2,0.28,2.0,1.0,1,Relatively New,1000.0,0,0,1,Low,Low floor
84,flat,sector 37,1.1,2.0,2.0,2,Relatively New,1242.0,0,0,1,Medium,Mid floor
85,flat,sector 65,2.0,2.0,2.0,2,Relatively New,1433.0,0,0,1,Low,High floor
86,flat,sohna road,0.9,3.0,2.0,2,Relatively New,1014.0,0,0,1,Medium,Low floor
87,flat,sohna road,0.9,3.0,2.0,0,Relatively New,1120.0,0,0,1,Medium,Low floor
88,flat,sector 33,1.75,3.0,3.0,0,New Property,1996.0,0,0,1,Medium,Low floor
89,flat,sector 68,0.93,2.0,2.0,2,New Property,1200.0,0,0,1,Low,High floor
90,flat,sector 90,1.8,4.0,4.0,3+,Moderately Old,2468.0,0,0,1,Medium,High floor
91,flat,sector 33,2.1,3.0,3.0,2,Under Construction,1619.0,0,0,1,Low,Mid floor
92,flat,sector 22,2.0,2.0,2.0,2,Relatively New,1533.0,0,0,1,Low,Mid floor
93,flat,sector 63,2.0,3.0,3.0,2,Relatively New,1540.0,0,0,1,Low,Low floor
