,property_type,sector,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category,price_in_crores
0,0.0,72.0,2.0,2.0,1.0,3.0,1000.0,0,0,1,1.0,2.0,0.45
1,0.0,34.0,2.0,2.0,1.0,2.0,722.0,0,0,0,1.0,1.0,0.5
2,0.0,100.0,2.0,2.0,3.0,1.0,661.0,0,0,1,1.0,0.0,0.4
3,0.0,64.0,2.0,2.0,2.0,1.0,1333.0,0,0,1,2.0,1.0,1.47
4,0.0,95.0,2.0,2.0,3.0,4.0,1217.0,0,0,1,1.0,2.0,0.7
5,0.0,38.0,2.0,2.0,3.0,1.0,654.0,0,0,1,1.0,2.0,0.41
6,0.0,1.0,3.0,3.0,3.0,1.0,1357.0,0,0,1,1.0,2.0,2.0
7,0.0,9.0,3.0,4.0,3.0,1.0,2544.0,0,0,1,2.0,0.0,1.8
8,0.0,90.0,2.0,4.0,4.0,4.0,1350.0,0,0,1,2.0,1.0,1.1
9,0.0,80.0,3.0,3.0,2.0,0.0,2813.0,0,0,1,2.0,0.0,4.75
10,0.0,84.0,2.0,2.0,2.0,3.0,1194.0,0,0,1,1.0,1.0,0.96
11,0.0,100.0,2.0,2.0,1.0,3.0,577.0,0,0,1,1.0,2.0,0.29
12,0.0,81.0,3.0,3.0,3.0,3.0,2161.0,0,0,1,1.0,2.0,1.35
13,0.0,37.0,2.0,2.0,4.0,4.0,1253.0,0,0,1,1.0,2.0,0.95
14,0.0,93.0,2.0,2.0,3.0,1.0,1176.0,0,0,1,1.0,0.0,0.7
15,0.0,13.0,4.0,5.0,3.0,3.0,2343.0,0,0,1,2.0,0.0,3.95
16,0.0,65.0,1.0,1.0,0.0,3.0,639.0,0,0,1,1.0,1.0,0.9
17,0.0,7.0,2.0,2.0,2.0,3.0,1017.0,0,0,1,1.0,1.0,1.05
18,0.0,37.0,3.0,3.0,3.0,1.0,1900.0,0,0,0,1.0,0.0,2.2
19,0.0,91.0,2.0,2.0,2.0,1.0,1226.0,0,0,1,1.0,2.0,1.01
20,0.0,81.0,3.0,4.0,4.0,1.0,1946.0,0,0,1,1.0,0.0,1.85
21,0.0,91.0,2.0,3.0,3.0,4.0,998.0,0,0,1,1.0,2.0,0.86
22,0.0,7.0,3.0,3.0,4.0,3.0,2250.0,0,0,0,2.0,1.0,1.85
23,0.0,19.0,3.0,3.0,4.0,1.0,2006.0,0,0,1,2.0,2.0,2.85
24,0.0,38.0,2.0,2.0,1.0,1.0,590.0,0,0,1,1.0,2.0,0.42
25,0.0,67.0,3.0,4.0,2.0,3.0,3355.0,0,0,1,1.0,0.0,6.15
26,0.0,49.0,3.0,5.0,4.0,0.0,3200.0,0,0,0,1.0,2.0,6.25
27,0.0,39.0,2.0,2.0,2.0,3.0,833.0,0,0,1,1.0,2.0,0.42
28,0.0,34.0,2.0,2.0,0.0,3.0,1056.0,0,0,1,2.0,2.0,1.35
29,0.0,25.0,2.0,2.0,2.0,3.0,73.0,0,0,1,1.0,1.0,1.6
30,0.0,45.0,4.0,4.0,4.0,0.0,4562.0,0,0,0,2.0,0.0,3.25
31,0.0,90.0,2.0,2.0,1.0,1.0,695.0,0,0,1,1.0,2.0,0.45
32,0.0,95.0,3.0,2.0,2.0,3.0,1300.0,0,0,1,1.0,0.0,0.85
33,0.0,93.0,2.0,2.0,3.0,3.0,1444.0,0,0,1,2.0,2.0,0.75
34,0.0,70.0,2.0,2.0,4.0,4.0,1068.0,0,0,1,2.0,0.0,0.82
35,0.0,14.0,3.0,3.0,2.0,0.0,2829.0,0,0,1,2.0,1.0,1.8
36,0.0,100.0,2.0,2.0,2.0,1.0,901.0,0,0,1,2.0,2.0,0.3
37,0.0,39.0,2.0,2.0,3.0,0.0,1068.1,0,0,0,2.0,1.0,0.78
38,0.0,45.0,3.0,3.0,2.0,2.0,1467.0,0,0,2,1.0,1.0,2.0
39,0.0,100.0,2.0,2.0,4.0,1.0,1344.0,0,0,1,2.0,0.0,0.74
40,0.0,11.0,3.0,3.0,4.0,3.0,2224.0,0,0,1,1.0,2.0,3.2
