property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score,area_room_ratio
flat,maa bhagwati residency,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,4.0,West,Relatively New,,,900.0,0,0,0,0,0,1,28,450.0
flat,apna enclave,sector 3,0.5,7692.307692307692,650.0,Carpet area: 650 (60.39 sq.m.),2.0,2.0,1,1.0,West,Old Property,,,650.0,0,0,0,0,0,0,37,325.0
flat,tulsiani easy in homes,sohna road,0.4,6722.689075630252,595.0,Carpet area: 595 (55.28 sq.m.),2.0,2.0,3,12.0,not available,New Property,,,595.0,0,0,0,0,0,1,36,297.5
flat,smart world orchard,sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2,2.0,not available,Undefined,,,1200.0,0,0,0,0,0,1,76,600.0
flat,parkwood westend,sector 92,0.7,5204.460966542751,1345.0,Super Built up area 1345(124.95 sq.m.),2.0,2.0,3,5.0,not available,Under Construction,1345.0,,,0,0,0,0,0,1,0,672.5
flat,signature global infinity mall,sector 36,0.41,6269.113149847095,654.0,Built Up area: 654 (60.76 sq.m.),2.0,2.0,3,3.0,not available,Undefined,,654.0,,0,0,0,0,0,1,0,327.0
flat,the cocoon,dwarka expressway,2.0,13333.333333333334,1500.0,Super Built up area 1500(139.35 sq.m.),3.0,3.0,3,5.0,not available,New Property,1500.0,,,0,0,0,0,0,1,0,500.0
flat,ats triumph,sector 104,1.8,7860.2620087336245,2290.0,Carpet area: 2290 (212.75 sq.m.),3.0,4.0,3,14.0,not available,New Property,,,2290.0,0,0,0,0,0,1,60,763.3333333333334
flat,vatika xpressions,sector 88,1.1,8148.148148148148,1350.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,4.0,3+,2.0,North-East,Under Construction,,1350.0,1050.0,0,0,0,0,0,1,58,675.0
flat,raheja revanta,sector 78,4.75,16885.8869534305,2813.0,Built Up area: 2813 (261.34 sq.m.),3.0,3.0,2,31.0,not available,Undefined,,2813.0,,0,0,0,0,0,1,100,937.6666666666666
flat,signature global city 81,sector 81,0.96,9766.022380467955,983.0,Carpet area: 1075 (99.87 sq.m.),2.0,2.0,2,1.0,not available,Undefined,,,1075.0,0,0,0,0,0,1,49,491.5
flat,hcbs sports ville,sohna road,0.29,5587.668593448941,519.0,Carpet area: 519 (48.22 sq.m.),2.0,2.0,1,4.0,not available,Relatively New,,,519.0,0,0,0,0,0,1,44,259.5
flat,supertech araville,sector 79,1.35,6940.874035989717,1945.0,Carpet area: 1945 (180.7 sq.m.),3.0,3.0,3,4.0,not available,Relatively New,,,1945.0,0,0,0,0,0,1,0,648.3333333333334
flat,godrej,sector 33,0.95,6859.205776173285,1385.0,Super Built up area 1385(128.67 sq.m.),2.0,2.0,3+,3.0,South-East,Under Construction,1385.0,,,0,0,0,0,0,1,0,692.5
flat,shree vardhman flora,sector 90,0.7,5384.615384615385,1300.0,Super Built up area 1300(120.77 sq.m.),2.0,2.0,3,13.0,not available,New Property,1300.0,,,0,0,0,0,0,1,15,650.0
flat,sobha city,sector 108,3.95,16858.72812633376,2343.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4.0,5.0,3,25.0,not available,Undefined,,2343.0,2300.0,0,0,0,0,0,1,59,585.75
flat,senate court,sector 62,0.9,14084.507042253521,639.0,Built Up area: 639 (59.37 sq.m.),1.0,1.0,0,0.0,not available,Undefined,,639.0,,0,0,0,0,0,1,0,639.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.409836065573,915.0,Carpet area: 915 (85.01 sq.m.),2.0,2.0,2,0.0,not available,Undefined,,,915.0,0,0,0,0,0,1,49,457.5
flat,central park flower valley,sector 33,2.2,10476.190476190477,2100.0,Super Built up area 2100(195.1 sq.m.),3.0,3.0,3,12.0,North-East,New Property,2100.0,,,0,0,0,0,0,0,49,700.0
flat,smart world gems,sector 89,1.01,9156.844968268359,1103.0,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,4.0,not available,Undefined,,,1103.0,0,0,0,0,0,1,38,551.5
flat,bestech altura,sector 79,1.85,8604.651162790698,2150.0,Super Built up area 2150(199.74 sq.m.),3.0,4.0,3+,11.0,North,New Property,2150.0,,,0,0,0,0,0,1,49,716.6666666666666
flat,smart world gems,sector 89,0.86,7796.917497733454,1103.0,Super Built up area 1103(102.47 sq.m.),2.0,3.0,3,4.0,not available,Under Construction,1103.0,,,0,0,0,0,0,1,45,551.5
flat,emaar imperial gardens,sector 102,1.85,9135.802469135802,2025.0,Carpet area: 2025 (188.13 sq.m.),3.0,3.0,3+,0.0,South-West,Relatively New,,,2025.0,0,0,0,0,0,0,95,675.0
flat,la vida by tata housing,sector 113,2.85,12855.209742895806,2217.0,Super Built up area 2217(205.97 sq.m.),3.0,3.0,3+,10.0,East,New Property,2217.0,,,0,0,0,0,0,1,72,739.0
flat,the serenas,sector 36,0.42,7909.604519774011,531.0,Carpet area: 531 (49.33 sq.m.),2.0,2.0,1,3.0,not available,Undefined,,,531.0,0,0,0,0,0,1,0,265.5
flat,m3m golfestate,sector 65,6.15,18330.84947839046,3355.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,2,20.0,North-East,Undefined,,3355.0,2200.0,0,0,0,0,0,1,34,1118.3333333333333
flat,central park resort belgravia residences,sector 48,6.25,24300.155520995333,2572.0,Carpet area: 2880 (267.56 sq.m.),3.0,5.0,3+,5.0,South-East,Moderately Old,,,2880.0,0,0,0,0,0,0,49,857.3333333333334
flat,apex builders,sector 37,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2.0,2.0,2,4.0,North,Relatively New,,,750.0,0,0,0,0,0,1,42,375.0
flat,godrej habitat,sector 3,1.35,12784.09090909091,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2.0,2.0,0,4.0,North-East,Undefined,,1056.0,912.0,0,0,0,0,0,1,60,528.0
flat,ompee k s residency,sector 2,1.6,2992.8918817807707,5346.0,Carpet area: 66 (55.18 sq.m.),2.0,2.0,2,1.0,not available,Relatively New,,,66.0,0,0,0,0,0,1,0,2673.0
flat,bhawna cghs,sector 43,3.25,10156.25,3200.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4.0,4.0,3+,12.0,not available,Moderately Old,3200.0,,3000.0,0,0,1,0,0,0,119,800.0
flat,adani aangan arcade,sector 88,0.45,7188.498402555911,626.0,Carpet area: 625.47 (58.11 sq.m.),2.0,2.0,1,8.0,not available,New Property,,,625.47,0,0,0,0,0,1,14,313.0
flat,sare green parc,sector 92,0.85,6538.461538461538,1300.0,Built Up area: 1300 (120.77 sq.m.),3.0,2.0,2,20.0,not available,Undefined,,1300.0,,0,0,0,0,0,1,0,433.3333333333333
flat,shree vardhman flora,sector 90,0.75,5769.2307692307695,1300.0,Carpet area: 1300 (120.77 sq.m.),2.0,2.0,3,8.0,North-East,Undefined,,,1300.0,0,0,0,0,0,1,60,650.0
flat,supertech hues,sector 68,0.82,6949.152542372882,1180.0,Super Built up area 1180(109.63 sq.m.),2.0,2.0,3+,21.0,not available,Under Construction,1180.0,,,0,0,0,0,1,1,72,590.0
flat,chintels paradiso,sector 109,1.8,8866.995073891625,2030.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3.0,3.0,2,0.0,East,Moderately Old,2030.0,,1785.0,0,0,0,0,0,1,83,676.6666666666666
flat,breez global hill view,sohna road,0.3,5405.405405405405,555.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2.0,2.0,2,6.0,North-East,New Property,655.0,,555.0,0,0,0,0,0,1,109,277.5
flat,ild greens,sector 37,0.78,5714.285714285715,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,3,1.0,North,Moderately Old,1365.0,1068.1,900.0,0,0,0,0,0,0,103,682.5
flat,ansal sushant lok ci,sector 43,2.0,15151.515151515152,1320.0,Carpet area: 1320 (122.63 sq.m.),3.0,3.0,2,1.0,North,Old Property,,,1320.0,0,0,0,0,0,2,15,440.0
flat,ashiana mulberry,sohna road,0.74,6197.654941373535,1194.0,Carpet area: 1210 (112.41 sq.m.),2.0,2.0,3+,12.0,North-West,New Property,,,1210.0,0,0,0,0,0,1,67,597.0
flat,godrej meridien,sector 106,3.2,16000.0,2000.0,Carpet area: 2002 (185.99 sq.m.),3.0,3.0,3+,6.0,not available,Undefined,,,2002.0,0,0,0,0,0,1,49,666.6666666666666
flat,mapsko casa bella,sector 82,1.3,6378.802747791953,2038.0,Super Built up area 1960(182.09 sq.m.),4.0,4.0,3+,1.0,North,Relatively New,1960.0,,,0,0,0,0,0,1,130,509.5
flat,pooja apartment,sector 3,0.25,3571.4285714285716,700.0,Carpet area: 700 (65.03 sq.m.),2.0,2.0,2,2.0,East,Relatively New,,,700.0,0,0,0,0,0,1,0,350.0
flat,signature global park,sohna road,0.95,7844.7563996696945,1211.0,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3.0,2.0,3+,1.0,not available,Relatively New,,1210.73,756.6,0,0,0,0,0,1,46,403.6666666666667
flat,dlf new town heights,sector 90,1.99,7297.396406307297,2727.0,Carpet area: 2727 (253.35 sq.m.),4.0,4.0,3+,9.0,East,Relatively New,,,2727.0,0,0,1,0,0,0,102,681.75
flat,paras dews,sector 106,1.05,7581.227436823105,1385.0,Carpet area: 1385 (128.67 sq.m.),2.0,2.0,2,5.0,West,New Property,,,1385.0,0,0,0,0,0,1,97,692.5
flat,godrej air,sector 85,1.83,10005.467468562056,1829.0,Carpet area: 1829 (169.92 sq.m.),3.0,3.0,3+,18.0,not available,Undefined,,,1829.0,0,0,0,0,0,1,110,609.6666666666666
flat,dlf the primus,sector 82,2.25,10714.285714285714,2100.0,Carpet area: 2100 (195.1 sq.m.),3.0,3.0,3+,29.0,East,Relatively New,,,2100.0,0,0,0,0,0,2,72,700.0
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.696969696968,1650.0,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3+,3.0,not available,Relatively New,,,1650.0,0,0,0,0,0,0,38,550.0
flat,dlf regency park,sector 28,1.6,14545.454545454546,1100.0,Carpet area: 1100 (102.19 sq.m.),2.0,2.0,2,3.0,North,Relatively New,,,1100.0,0,0,0,0,0,1,52,550.0
flat,supertech araville,sector 79,0.83,5424.83660130719,1530.0,Carpet area: 1530 (142.14 sq.m.),2.0,2.0,3,5.0,North-East,New Property,,,1530.0,0,0,0,0,0,2,49,765.0
flat,signature global park,sohna road,0.83,7410.714285714285,1120.0,Carpet area: 1120 (104.05 sq.m.),3.0,2.0,2,1.0,not available,New Property,,,1120.0,0,0,0,0,0,1,16,373.3333333333333
flat,maxworth city residences,sector 10,0.8,6400.0,1250.0,Carpet area: 1250 (116.13 sq.m.),2.0,3.0,2,9.0,not available,New Property,,,1250.0,0,0,0,0,0,1,46,625.0
